user_id,consent,age,location,education,race,gender,inserted_at
worker_7406f795,1,26.0,new york,Bachelor,White,Male,2026-01-17 04:08:52
worker_2f1485db,0,,,,,,2025-11-29 17:21:30
worker_1d147b43,1,42.0,CA,Bachelor,White,Male,2026-01-17 09:31:11
worker_05e5ce05,1,35.0,Indiana,Bachelor,White,Male,2025-12-02 14:00:36
worker_4e81fa4e,1,43.0,Ahmedabad,Bachelor,Asian,Male,2025-09-09 09:46:31
worker_45d29299,1,35.0,New York,Bachelor,White,Female,2025-10-17 11:19:32
worker_c1aea785,1,30.0,Massachusetts,Bachelor,White,Female,2025-12-13 21:46:58
worker_ec831d0f,1,,,,,,2025-12-14 02:43:11
worker_cba11f84,1,60.0,cochin,Bachelor,Asian,Male,2025-11-26 18:03:57
worker_6ab14543,1,28.0,Massachusetts,Bachelor,Asian,Male,2025-04-23 17:32:12
worker_a0fc652b,0,,,,,,2025-10-15 18:58:10
worker_e1e9b61a,1,55.0,Alabama,High School Graduate,White,Female,2025-12-02 15:34:45
worker_768b686e,0,,,,,,2025-12-13 20:41:37
worker_a1e6c00f,1,36.0,usa,Bachelor,White,Male,2025-12-13 16:48:39
worker_345a9f9a,1,37.0,Missouri,Bachelor,Black or African American,Female,2025-12-02 16:18:04
worker_baa3f9fa,1,32.0,India,Master,Asian,Male,2025-09-09 10:30:57
worker_22cae115,0,,,,,,2025-04-23 15:30:37
worker_4f7cab8d,1,29.0,Texas,Master,White,Male,2025-12-02 15:52:12
worker_9c838ea3,1,26.0,Massachusetts,Bachelor,White,Male,2026-01-16 22:37:25
worker_aba4188f,1,30.0,New York,Bachelor,White,Male,2025-12-02 14:05:41
worker_6cbec9d4,1,35.0,STUTTGART,Bachelor,Black or African American,Female,2025-12-14 03:53:57
worker_9683ed92,1,35.0,INDIA,Bachelor,Asian,Male,2025-09-09 10:08:15
worker_f6381fdc,0,,,,,,2025-11-26 22:07:13
worker_fea752ec,1,71.0,MA,Master,Asian,Male,2025-04-23 18:01:51
worker_83c92f1d,1,27.0,USA,Bachelor,White,Female,2025-12-13 20:53:28
worker_030da562,1,25.0,UK,Bachelor,White,Male,2025-12-02 15:17:23
worker_d073b686,1,,,,,,2025-04-23 15:51:31
worker_12736fcf,1,41.0,india,Master,Asian,Female,2025-10-18 03:22:10
worker_3225d33f,1,55.0,Telangana,Bachelor,Asian,Male,2025-10-19 06:23:33
worker_871b0d51,1,30.0,IN,Master,Asian,Male,2025-09-14 23:16:13
worker_a95f3942,1,35.0,USA,Bachelor,White,Female,2025-12-02 17:39:49
worker_249fb4c7,1,30.0,New York,Bachelor,White,Male,2025-12-02 14:04:02
worker_7bd9f45e,1,32.0,India,Bachelor,Asian,Male,2025-09-09 20:05:58
worker_3cd9fa21,1,30.0, Massachusetts,Master,Asian,Male,2025-09-09 22:15:32
worker_ed243d0f,1,56.0,Connecticut,Bachelor,White,Female,2025-09-09 12:39:41
worker_abed75f4,1,29.0,Texas,Master,White,Male,2025-12-02 15:11:58
worker_8371812d,1,24.0,CA,Bachelor,Asian,Male,2025-12-02 14:37:07
worker_91b36370,1,38.0,New England  Northeastern United States,Bachelor,Asian,Male,2025-10-21 12:48:17
worker_c863eef6,0,,,,,,2025-12-13 20:35:51
worker_13199fc0,1,35.0,Massachusetts,Master,Asian,Female,2026-01-16 23:30:33
worker_8162ff56,1,54.0,"Madurai,Tamil Nadu",Master,Asian,Male,2025-04-23 08:07:08
worker_e4599a05,1,33.0,FL,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-10-17 10:13:35
worker_ac2b9070,1,33.0,FLorida,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-10-15 11:56:46
worker_998a6ee4,1,32.0,FLorida,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-09-15 09:22:53
worker_53d17ca4,1,33.0,FLorida,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-09-15 09:17:55
worker_03095c5a,1,33.0,FLorida,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-09-15 09:11:50
worker_1a68b95d,1,33.0,USA FLorida Hollywood ,Bachelor,"Black or African American,Hispanic or Latino",Male,2025-04-23 17:01:41
worker_d2070e2b,0,,,,,,2025-12-13 17:10:47
worker_95e30fa6,1,48.0,Arizona,Bachelor,White,Male,2025-04-23 20:04:12
worker_f190b352,1,29.0,San Francisco,Bachelor,White,Male,2026-01-17 08:49:07
worker_12ed663c,0,,,,,,2025-11-26 12:24:28
worker_1f33a9c4,1,35.0,Wisconsin,Bachelor,White,Male,2025-12-13 21:15:48
worker_5a9ae87f,1,35.0,Massachusetts,Master,Asian,Female,2025-04-23 17:54:18
worker_0b7e46a7,1,45.0,us,Bachelor,Hispanic or Latino,Male,2025-09-09 12:41:26
worker_61e55ed0,1,34.0,Chennai,Master,Asian,Male,2025-09-09 09:44:06
worker_b2629c8c,1,69.0,new York state,Bachelor,White,Male,2025-10-15 11:27:03
worker_42d80349,0,,,,,,2025-12-13 21:23:14
worker_a0dc15c2,1,26.0,USA,Bachelor,White,Male,2025-12-14 00:02:56
worker_7bef026e,1,27.0,USA,Bachelor,White,Male,2025-12-14 00:54:02
worker_6abd19dd,1,29.0,New Jersey,Master,White,Male,2026-01-16 20:59:52
worker_c7496651,1,35.0,indiana,Bachelor,White,Female,2026-01-16 20:51:14
worker_30fbda4d,1,35.0,los angeles,Bachelor,White,Male,2026-01-16 22:39:35
worker_6db95eee,1,49.0,India,Bachelor,Asian,Male,2026-01-17 00:53:32
worker_1389d590,1,25.0,MO,Bachelor,White,Male,2025-12-04 09:53:45
worker_c26d33b8,1,25.0,Tennessee,Bachelor,White,Female,2025-12-02 16:05:31
worker_20874f72,1,27.0,VIRGINA,Bachelor,White,Male,2025-12-02 14:20:32
worker_a2507fa9,1,30.0,usa,High School Graduate,White,Male,2026-01-17 07:40:04
worker_50d45dbd,1,25.0,India,Bachelor,White,Male,2025-12-02 14:52:15
worker_054c27fc,1,32.0,North carolina,Bachelor,White,Male,2025-12-13 21:44:19
worker_6d510385,1,40.0,India,Bachelor,Asian,Female,2025-09-14 23:20:10
worker_dbc4c2e9,1,34.0,TEXAS,Bachelor,White,Male,2026-01-17 09:30:57
worker_f01a847c,1,35.0,MS,Bachelor,White,Female,2026-01-16 21:14:45
