479.78,136.47,"ish generating their",105,14598,0,1765701338576
479.21,131.33,"ish generating their",105,14905.299999714,1,1765701338882
480.65,119.16,"ish generating their",105,15203.299999714,1,1765701339180
464.65,95.15,"inish generating the",103,15442.199999809,1,1765701339419
447.63,56.96,"please wait patientl",40,15641,1,1765701339618
447.86,31.3,"please wait patientl",40,15832.099999905,1,1765701339809
-1,-1,,,15991.299999714,1,1765701339968
-1,-1,,,16138.599999905,1,1765701340115
-1,-1,,,16273.199999809,1,1765701340250
-1,-1,,,16430.199999809,1,1765701340407
-1,-1,,,16594.5,1,1765701340571
-1,-1,,,16741.799999714,1,1765701340719
-1,-1,,,16914.699999809,1,1765701340891
-1,-1,,,17124,1,1765701341101
-1,-1,,,17311.599999905,1,1765701341288
-1,-1,,,17449.299999714,1,1765701341426
-1,-1,,,17593.900000095,1,1765701341571
-1,-1,,,17730.799999714,1,1765701341708
-1,-1,,,17861.799999714,1,1765701341839
-1,-1,,,17983.900000095,1,1765701341961
-1,-1,,,18115.199999809,1,1765701342092
-1,-1,,,18257.5,1,1765701342234
-1,-1,,,18455.199999809,1,1765701342432
-1,-1,,,18604.5,1,1765701342581
-1,-1,,,18713.599999905,1,1765701342888
-1,-1,,,18887.099999905,1,1765701349190
-1,-1,,,19015.499999523,1,1765701349318
-1,-1,,,19162.499999523,1,1765701349465
-1,-1,,,19298.599999905,1,1765701349601
-1,-1,,,19425.199999809,1,1765701349728
-1,-1,,,19568.999999523,1,1765701349872
311.73,80.22,"e for AI to finish g",90,19705.399999619,1,1765701350008
249.82,52.18,"pe your question, pl",22,19842.899999619,1,1765701350146
94.98,34.18,"After you type you",8,19961.199999809,1,1765701350264
-1,-1,,,20071.899999619,1,1765701350374
-1,-1,,,20187.299999714,1,1765701350490
446.45,111.87,"finish generating th",102,20322.299999714,1,1765701350625
544.94,144.43,"nerating their answe",111,20451.699999809,1,1765701350754
576.54,100.77,"ating their answer.",114,20570.199999809,1,1765701350873
604.12,15.23,"tiently. It might",54,20686.899999619,1,1765701350990
-1,-1,,,20810.999999523,1,1765701351113
-1,-1,,,20942.999999523,1,1765701351246
538.01,22.72,"ait patiently. It mi",48,21072.999999523,1,1765701351376
476.79,105.34,"ish generating their",105,21197.799999714,1,1765701351501
523.2,127.96,"generating their ans",109,21321.299999714,1,1765701351624
306.11,94.58,"te for AI to finish",89,21440.399999619,1,1765701351743
189.06,124.99,"p to 1 minute for AI",78,21568.899999619,1,1765701351872
384.09,49.27,"tion, please wait pa",34,21741.599999905,1,1765701352044
336.9,72.71,"question, please wai",30,21858.799999714,1,1765701352162
200.21,105.01,"to 1 minute for AI",79,22003.899999619,1,1765701352307
249.1,165.37,"e will show up here.",150,22123.499999523,1,1765701352426
20.52,250.92,"AI's respon",129,22249.999999523,1,1765701352553
-1,-1,,,22355.799999714,1,1765701352658
-1,-1,,,22455.499999523,1,1765701352758
8.28,158.05,"swer. The",128,22611.699999809,1,1765701352914
54.97,103.7,"take up to 1 m",66,22765.799999714,1,1765701353069
109.21,105.24,"take up to 1 minute",71,22881.799999714,1,1765701353184
279.56,9.03,"your question, pleas",25,22988.199999809,1,1765701353291
-1,-1,,,23106.699999809,1,1765701353409
-1,-1,,,23217.399999619,1,1765701353520
274.18,17.81,"your question, plea",24,23358.399999619,1,1765701353661
-1,-1,,,23565.299999714,1,1765701353868
-1,-1,,,23816.199999809,1,1765701354119
623.48,32.38,"ently. It might",56,23993.399999619,1,1765701354296
667.45,75.92,"y. It might",60,24108.799999714,1,1765701354412
-1,-1,,,24215.199999809,1,1765701354518
-1,-1,,,24328.299999714,1,1765701354631
-1,-1,,,24449.699999809,1,1765701354752
-1,-1,,,24576.799999714,1,1765701354879
-1,-1,,,24697.899999619,1,1765701355000
-1,-1,,,24813.999999523,1,1765701355117
-1,-1,,,24912.299999714,1,1765701355215
-1,-1,,,25038.699999809,1,1765701355341
-1,-1,,,25176.499999523,1,1765701355479
-1,-1,,,25305.499999523,1,1765701355608
-1,-1,,,25450.799999714,1,1765701355753
-1,-1,,,25641.699999809,1,1765701355944
-1,-1,,,25798.499999523,1,1765701356101
-1,-1,,,25944.899999619,1,1765701356366
-1,-1,,,26138.099999428,1,1765701360578
-1,-1,,,26305.099999428,1,1765701360745
-1,-1,,,26459.899999619,1,1765701360900
-1,-1,,,26621.599999428,1,1765701361061
505.38,7.77,"e wait patiently. It",45,26753.899999619,1,1765701361194
499.66,40.69,"e wait patiently. It",45,26903.999999523,1,1765701361344
476.91,70.46,"ase wait patiently.",43,27078.199999332,1,1765701361518
443.68,125.42,"finish generating th",102,27225.599999428,1,1765701361665
438.28,168.73,"w up here.",160,27357.299999714,1,1765701361797
342.37,135.16,"for AI to finish gen",92,27512.499999523,1,1765701361952
383.02,147.52,"AI to finish generat",96,27823.399999619,1,1765701362263
364.55,138.26,"r AI to finish gener",94,28226.899999619,1,1765701362667
358.9,159.48,"w up here.",160,28481.999999523,1,1765701362922
336.5,120.74,"for AI to finish gen",92,28635.399999619,1,1765701363075
397.61,30.69,"ion, please wait pat",35,28772.399999619,1,1765701363212
-1,-1,,,28945.399999619,1,1765701363385
-1,-1,,,29112.399999619,1,1765701363552
-1,-1,,,29260.899999619,1,1765701363700
-1,-1,,,29466.699999332,1,1765701363906
-1,-1,,,29639.399999619,1,1765701364079
-1,-1,,,29807.399999619,1,1765701364247
538.98,13.73,"ait patiently. It mi",48,29967.899999619,1,1765701364408
-1,-1,,,30128.799999714,1,1765701364568
-1,-1,,,30277.299999714,1,1765701364717
-1,-1,,,30418.199999332,1,1765701364857
664.57,27.02,"y. It might",60,30584.499999523,1,1765701365024
657.76,33.78,"ly. It might",59,30770.699999332,1,1765701365210
603.73,104.49,"ing their answer. Th",116,30968.899999619,1,1765701365409
597.19,137.44,"ing their answer. Th",116,31151.099999428,1,1765701365591
624.66,128.82,"g their answer. The",118,31288.099999428,1,1765701365728
611.63,127.52,"ng their answer. The",117,31427.199999332,1,1765701365867
579.24,110.38,"ating their answer.",114,31591.899999619,1,1765701366032
584.39,81.36,"ating their answer.",114,31781.099999428,1,1765701366221
615.28,89.32,"ng their answer. The",117,31909.999999523,1,1765701366350
621.64,41.93,"ently. It might",56,32041.399999619,1,1765701366481
602.42,29.83,"tiently. It might",54,32178.299999714,1,1765701366618
611.7,19.01,"iently. It might",55,32313.799999714,1,1765701366753
643.77,22.22,"tly. It might",58,32442.199999332,1,1765701366882
-1,-1,,,32585.299999714,1,1765701367025
-1,-1,,,32708.699999332,1,1765701367148
-1,-1,,,32824.999999523,1,1765701367264
-1,-1,,,32958.699999332,1,1765701367398
-1,-1,,,33098.799999714,1,1765701367538
-1,-1,,,33228.499999523,1,1765701367668
-1,-1,,,33370.599999428,1,1765701367810
-1,-1,,,33498.899999619,1,1765701367938
-1,-1,,,33711.299999714,1,1765701368151
-1,-1,,,33889.699999332,1,1765701368329
263.86,13.58,"e your question, ple",23,34037.699999332,1,1765701368478
246.4,102.7,"minute for AI to fi",84,34165.499999523,1,1765701368605
290.42,125.39,"ute for AI to finish",88,34291.599999428,1,1765701368732
292.49,135.87,"ute for AI to finish",88,34411.899999619,1,1765701368852
268.37,117.69,"inute for AI to fini",86,34534.899999619,1,1765701368975
306.17,151.83,"l show up here.",155,34680.799999714,1,1765701369120
338.38,132.53,"for AI to finish gen",92,34790.599999428,1,1765701369230
354.97,114.68,"or AI to finish gene",93,34958.299999714,1,1765701369398
374.33,75.04,"stion, please wait p",33,35115.999999523,1,1765701369556
406.71,70.38,"on, please wait pati",36,35237.599999428,1,1765701369677
450.11,16.63,"please wait patientl",40,35366.399999619,1,1765701369806
-1,-1,,,35481.899999619,1,1765701369921
-1,-1,,,35592.399999619,1,1765701370032
-1,-1,,,35718.899999619,1,1765701370159
-1,-1,,,35833.899999619,1,1765701370273
-1,-1,,,35947.499999523,1,1765701370387
-1,-1,,,36051.999999523,1,1765701370492
-1,-1,,,36171.499999523,1,1765701370611
-1,-1,,,36280.599999428,1,1765701370720
-1,-1,,,36397.499999523,1,1765701370837
228.99,19.91,"type your question,",20,36510.499999523,1,1765701370950
182.71,46.14,"you type your questi",16,36619.899999619,1,1765701371060
243.7,48.8,"ype your question, p",21,36736.399999619,1,1765701371176
272.56,23.72,"your question, plea",24,36842.399999619,1,1765701371282
-1,-1,,,36960.199999332,1,1765701371400
-1,-1,,,37077.799999714,1,1765701371517
-1,-1,,,37187.499999523,1,1765701371627
-1,-1,,,37291.399999619,1,1765701371731
-1,-1,,,37405.599999428,1,1765701371845
-1,-1,,,37519.899999619,1,1765701371959
-1,-1,,,37633.699999332,1,1765701372073
-1,-1,,,37749.599999428,1,1765701372189
-1,-1,,,37854.999999523,1,1765701372294
-1,-1,,,37969.799999714,1,1765701372409
