480.06,164.42,"swer. The AI's",128,11188.100000024,1757429220172
481.55,162.92,"swer. The AI's",128,11899.100000024,1757429220869
475.2,155.84,"swer. The AI's",128,12412.400000095,1757429221383
485.74,138.94,"1 minute for AI",82,13044.200000048,1757429222014
496.11,150.66,"er. The AI's",130,13477.400000095,1757429222447
552.37,103.61,"nute for AI",87,13892.400000095,1757429222863
-1,-1,,,14340.300000072,1757429223310
-1,-1,,,15014.100000024,1757429223984
-1,-1,,,15600.200000048,1757429224570
-1,-1,,,16132.100000024,1757429225102
-1,-1,,,16708.800000072,1757429225680
-1,-1,,,17211.800000072,1757429226182
-1,-1,,,17677.5,1757429226647
-1,-1,,,18206.300000072,1757429227176
-1,-1,,,18734.5,1757429227704
-1,-1,,,19352.600000024,1757429228322
-1,-1,,,20064.900000095,1757429229034
-1,-1,,,20626.800000072,1757429229596
-1,-1,,,21076.200000048,1757429230046
-1,-1,,,21557.400000095,1757429230527
-1,-1,,,22139.800000072,1757429231111
397.92,23.68,"estion, please wait",32,22582.100000024,1757429231552
444.85,123.24,"p to 1 minute for AI",78,23091.600000024,1757429232067
420.36,204.96,"ir answer. The AI's",123,23654.300000072,1757429232625
353,141.81,"take up to 1 minute",71,24279.100000024,1757429233249
385.78,106.56,"ake up to 1 minute f",73,24907.200000048,1757429233877
328.31,148.72,"ht take up to 1 minu",69,25699.100000024,1757429234669
440.51,128.74,"p to 1 minute for AI",78,26530.900000095,1757429235501
349.75,134.64,"t take up to 1 minut",70,27163.5,1757429236133
401.91,106.18,"e up to 1 minute for",75,27720.100000024,1757429236700
418.04,84.5,"up to 1 minute for",76,28272.200000048,1757429237243
-1,-1,,,28885.900000095,1757429237856
545.22,135.05,"nute for AI",87,29603.5,1757429238573
-1,-1,,,30127.300000072,1757429239096
555.71,87.49,"ute for AI",88,30722.5,1757429239693
443.62,160.82,"answer. The AI's",125,31404.900000095,1757429240376
459.21,145.14,"to 1 minute for AI",80,32105.900000095,1757429241077
510.22,144.61,"minute for AI",84,32766.900000095,1757429241737
-1,-1,,,33305,1757429242275
-1,-1,,,33839.900000095,1757429242813
-1,-1,,,34622,1757429243592
-1,-1,,,35095.800000072,1757429244066
-1,-1,,,35789.900000095,1757429244760
-1,-1,,,36421.800000072,1757429245392
-1,-1,,,37034.900000095,1757429246005
