479.91,165.36,"w up here.",160,6107.0999999999,0,1764715538946
485.19,163.79,"w up here.",160,6189.3999999999,1,1764715539028
505.13,163,"w up here.",160,6277.2,1,1764715539116
513.39,163.25,"w up here.",160,6357.8999999999,1,1764715539197
490.63,154.91,"w up here.",160,6443.8999999999,1,1764715539283
476.34,140.65,"w up here.",160,6524.7999999998,1,1764715539364
440.98,118.88,"w up here.",160,6605.9999999998,1,1764715539445
381.12,117.86,"w up here.",160,6685.7999999998,1,1764715539525
345.5,105.12,"w up here.",160,6749.5999999999,1,1764715539589
341.48,82.18,"w up here.",160,6820.3999999999,1,1764715539659
367.81,68.97,"stion, please wait p",33,6902.4999999998,1,1764715539741
415.32,29.06,"n, please wait patie",37,6988.4999999998,1,1764715539828
440.39,3.55,"please wait patient",39,7049.2999999998,1,1764715539888
-1,-1,,,7120.2999999998,1,1764715539959
-1,-1,,,7187.7999999998,1,1764715540027
-1,-1,,,7254.4999999998,1,1764715540093
-1,-1,,,7341.7,1,1764715540181
1132.5,41.04,"finish generating th",102,7422.8999999999,1,1764715540262
1229.75,55.37,"nerating their answe",111,7503.0999999999,1,1764715540342
1327.48,97.38,"w up here.",160,7590.0999999999,1,1764715540429
1317.24,143.12,"w up here.",160,7666.9999999998,1,1764715540506
1125.27,186.97,"w up here.",160,7753.4999999998,1,1764715540592
948.54,236.86,"w up here.",160,7819.2,1,1764715540658
799.11,241.09,"w up here.",160,7904.0999999999,1,1764715540743
701.7,195.35,"w up here.",160,7977.7999999998,1,1764715540817
589.6,152.28,"w up here.",160,8049.5999999999,1,1764715540889
491.93,87.28,"w up here.",160,8118.2999999998,1,1764715540957
436.41,112.8,"w up here.",160,8191.2999999998,1,1764715541030
407.98,51.94,"on, please wait pati",36,8261.7,1,1764715541101
358.41,55.21,"estion, please wait",32,8332.2999999998,1,1764715541172
324.71,38.36,"question, please wa",29,8411.4999999998,1,1764715541251
311.05,7.81,"ur question, please",27,8483.9999999998,1,1764715541323
-1,-1,,,8568.7,1,1764715541407
-1,-1,,,8640.4999999998,1,1764715541479
-1,-1,,,8714.0999999999,1,1764715541553
-1,-1,,,8785.3999999999,1,1764715541624
-1,-1,,,8876.2999999998,1,1764715541715
-1,-1,,,8957.3999999999,1,1764715541796
-1,-1,,,9043.9999999998,1,1764715541883
-1,-1,,,9123.2999999998,1,1764715541962
-1,-1,,,9194.3999999999,1,1764715542033
-1,-1,,,9268.7,1,1764715542108
-1,-1,,,9352.2,1,1764715542191
501.77,64.6,"e wait patiently. It",45,9435.4999999998,1,1764715542274
482.73,79.49,"w up here.",160,9522.3999999999,1,1764715542361
448.24,73.83,"please wait patientl",40,9594.3999999999,1,1764715542433
422.98,63.55,", please wait patien",38,9666.2999999998,1,1764715542505
371.04,63.59,"stion, please wait p",33,9734.2999999998,1,1764715542573
357.99,47.14,"estion, please wait",32,9803.2,1,1764715542642
384.23,58.97,"tion, please wait pa",34,9882.7999999998,1,1764715542722
457.7,87.65,"w up here.",160,9953.7,1,1764715542793
548.11,57.78,"it patiently. It mig",49,10031.5,1,1764715542870
-1,-1,,,10103,1,1764715542942
-1,-1,,,10180.5,1,1764715543019
-1,-1,,,10246.1,1,1764715543085
-1,-1,,,10330.1,1,1764715543169
-1,-1,,,10409,1,1764715543248
-1,-1,,,10477.6,1,1764715543316
-1,-1,,,10558.4,1,1764715543397
-1,-1,,,10623.5,1,1764715543462
-1,-1,,,10697.3,1,1764715543536
-1,-1,,,10777,1,1764715543616
-1,-1,,,10840.3,1,1764715543679
600.46,4.98,"tiently. It might ta",54,10913,1,1764715543752
609.63,7.66,"iently. It might tak",55,10973.9,1,1764715543813
-1,-1,,,11045.1,1,1764715543884
-1,-1,,,11128.2,1,1764715543967
-1,-1,,,11191.7,1,1764715544031
-1,-1,,,11259.6,1,1764715544098
-1,-1,,,11323.7,1,1764715544162
-1,-1,,,11387.5,1,1764715544226
-1,-1,,,11455.4,1,1764715544294
-1,-1,,,11524.3,1,1764715544363
-1,-1,,,11592.3,1,1764715544431
-1,-1,,,11671.7,1,1764715544511
-1,-1,,,11741.2,1,1764715544580
-1,-1,,,11809.3,1,1764715544648
-1,-1,,,11891.6,1,1764715544730
-1,-1,,,11977.1,1,1764715544816
-1,-1,,,12043.6,1,1764715544882
-1,-1,,,12108.7,1,1764715544947
-1,-1,,,12176.5,1,1764715545015
-1,-1,,,12238.7,1,1764715545077
-1,-1,,,12305.3,1,1764715545144
-1,-1,,,12378.2,1,1764715545217
-1,-1,,,12455.6,1,1764715545294
-1,-1,,,12521.3,1,1764715545360
-1,-1,,,12592.2,1,1764715545431
-1,-1,,,12656.7,1,1764715545496
-1,-1,,,12739.9,1,1764715545579
-1,-1,,,12806.8,1,1764715545646
-1,-1,,,12891.6,1,1764715545730
-1,-1,,,12952.7,1,1764715545791
-1,-1,,,13023.9,1,1764715545863
-1,-1,,,13089,1,1764715545928
-1,-1,,,13154.2,1,1764715545993
-1,-1,,,13220.4,1,1764715546059
-1,-1,,,13289.9,1,1764715546129
-1,-1,,,13360.2,1,1764715546199
-1,-1,,,13432.8,1,1764715546272
-1,-1,,,13500.1,1,1764715546339
-1,-1,,,13572,1,1764715546411
-1,-1,,,13656.8,1,1764715546496
-1,-1,,,13721.5,1,1764715546560
-1,-1,,,13784.4,1,1764715546623
-1,-1,,,13854.6,1,1764715546693
-1,-1,,,13916.1,1,1764715546755
-1,-1,,,13990.8,1,1764715546830
-1,-1,,,14056.5,1,1764715546895
-1,-1,,,14138.9,1,1764715546978
-1,-1,,,14202.9,1,1764715547042
-1,-1,,,14271.3,1,1764715547110
-1,-1,,,14355.2,1,1764715547194
-1,-1,,,14424.5,1,1764715547263
-1,-1,,,14502.1,1,1764715547341
-1,-1,,,14566.9,1,1764715547406
