480.05,165.43,"w up here.",160,3738.3000000119,0,1764710181576
480.27,163.61,"w up here.",160,3809,1,1764710181646
475.59,154.41,"w up here.",160,3881.7000000179,1,1764710181719
460.28,131.86,"inish generating the",103,3932.900000006,1,1764710181770
434.31,101.77,"finish generating t",101,3999.8000000119,1,1764710181837
394.16,56.22,"ion, please wait pat",35,4071.400000006,1,1764710181908
-1,-1,,,4129.3000000119,1,1764710181966
-1,-1,,,4180.3000000119,1,1764710182017
-1,-1,,,4229.900000006,1,1764710182067
-1,-1,,,4281.5,1,1764710182118
-1,-1,,,4329.3000000119,1,1764710182166
-1,-1,,,4368,1,1764710182205
-1,-1,,,4429.8000000119,1,1764710182267
-1,-1,,,4477.2000000179,1,1764710182314
-1,-1,,,4524.7000000179,1,1764710182362
-1,-1,,,4566.3000000119,1,1764710182403
-1,-1,,,4618,1,1764710182455
-1,-1,,,4682.5,1,1764710182519
-1,-1,,,4729.900000006,1,1764710182567
-1,-1,,,4772.400000006,1,1764710182609
-1,-1,,,4820.8000000119,1,1764710182658
-1,-1,,,4871,1,1764710182708
-1,-1,,,4930.2000000179,1,1764710182767
-1,-1,,,4970.1000000238,1,1764710182807
-1,-1,,,5026.900000006,1,1764710182864
672.23,135.03,"eir answer. The",122,5085.900000006,1,1764710182923
582.69,15.96,"patiently. It might",52,5149.1000000238,1,1764710182986
-1,-1,,,5192.3000000119,1,1764710183029
-1,-1,,,5235.900000006,1,1764710183073
-1,-1,,,5280.6000000238,1,1764710183118
-1,-1,,,5326.900000006,1,1764710183164
-1,-1,,,5375,1,1764710183212
-1,-1,,,5421.1000000238,1,1764710183258
-1,-1,,,5467.8000000119,1,1764710183305
-1,-1,,,5521.3000000119,1,1764710183358
-1,-1,,,5599.1000000238,1,1764710183436
-1,-1,,,5664,1,1764710183501
-1,-1,,,5722,1,1764710183559
-1,-1,,,5792.8000000119,1,1764710183630
-1,-1,,,5860.400000006,1,1764710183697
-1,-1,,,5935.900000006,1,1764710183773
-1,-1,,,5996.3000000119,1,1764710183833
-1,-1,,,6070.400000006,1,1764710183907
-1,-1,,,6127.8000000119,1,1764710183965
-1,-1,,,6196.5,1,1764710184033
-1,-1,,,6261.6000000238,1,1764710184099
-1,-1,,,6336.2000000179,1,1764710184173
-1,-1,,,6400,1,1764710184237
-1,-1,,,6456.7000000179,1,1764710184294
232.42,4.93,"type your question,",20,6525.1000000238,1,1764710184362
-1,-1,,,6596.1000000238,1,1764710184433
344.46,20.06,"uestion, please wait",31,6673,1,1764710184510
392.72,3.23,"ion, please wait pat",35,6745.6000000238,1,1764710184583
-1,-1,,,6825.8000000119,1,1764710184663
-1,-1,,,6893.6000000238,1,1764710184730
-1,-1,,,6951.5,1,1764710184788
-1,-1,,,7008.1000000238,1,1764710184845
604.6,44.16,"tiently. It might",54,7083.400000006,1,1764710184920
-1,-1,,,7154.900000006,1,1764710184992
