user_id,task_id,query_id,camera_green,total_entries_left,total_entries_right,response_left,response_right,max_idx_left,max_idx_right,query_length_left,query_length_right
worker_3d0749be,253,1944,6533,3671,3232,1988,646,1583,1052,1587,1068
worker_3d0749be,253,1947,2853,1973,1973,945,631,1550,1382,1977,1382
worker_3d0749be,253,1951,1110,631,636,191,156,1427,1490,1549,1510
worker_3d0749be,213,1935,6286,3182,3104,1768,444,2639,1232,2639,1233
worker_3d0749be,213,1937,8535,5455,5503,2190,1919,1848,1247,1848,1247
worker_3d0749be,213,1940,4684,2352,2332,1000,1027,2648,1624,2648,1691
worker_3d0749be,221,1956,4898,2495,2447,782,1030,2663,1811,2663,2452
worker_3d0749be,221,1959,2483,1214,1269,628,420,726,1906,2500,2199
worker_3d0749be,221,1961,3367,1881,1866,672,928,2533,650,2533,2135
worker_6f6aa746,329,1981,3680,1833,1847,513,936,1222,1453,1222,1459
worker_6f6aa746,329,1982,3402,1693,1709,267,1086,595,1662,596,1662
worker_6f6aa746,329,1983,1674,833,841,279,409,1548,1800,1548,1822
worker_6f6aa746,323,1999,3881,1994,1893,660,951,1191,1205,1191,1205
worker_6f6aa746,323,2000,4867,2447,2420,707,1439,1525,2063,1525,2063
worker_6f6aa746,323,2004,1704,827,877,303,453,1522,1769,1522,1782
worker_6f6aa746,249,1936,4956,2470,2492,769,1374,1126,2147,1126,2148
worker_6f6aa746,249,1938,3446,1745,1741,704,801,1614,1302,1614,1302
worker_6f6aa746,249,1939,929,471,458,201,203,1074,1169,1074,1180
worker_6f6aa746,319,1885,4311,2138,2173,970,976,2209,1507,2209,1507
worker_6f6aa746,319,1886,5102,2603,2499,1100,1169,2418,1343,2418,1360
worker_6f6aa746,319,1887,1882,938,944,455,396,2408,1389,2408,1455
worker_6f6aa746,325,1945,4261,2148,2139,771,1144,1199,2125,1199,2125
worker_6f6aa746,325,1949,4840,2432,2408,770,1386,1328,2004,1328,2004
worker_6f6aa746,325,1954,2214,1106,1108,406,594,1380,1964,1380,1973
worker_6f6aa746,255,1975,4589,2290,2299,640,1306,1251,1272,1251,1272
worker_6f6aa746,255,1976,4329,2186,2153,859,1140,1708,1543,1708,1549
worker_6f6aa746,255,1977,1632,817,815,312,427,1937,1661,1954,1748
worker_6f6aa746,233,1987,3744,1906,1866,278,689,1321,1072,1321,1072
worker_6f6aa746,233,1988,4899,2512,2530,679,1397,677,1103,677,1103
worker_6f6aa746,233,1992,2078,1047,1049,394,470,1936,1436,1936,1436
worker_eea011eb,249,1774,1633,843,850,102,239,205,1550,2367,1551
worker_eea011eb,249,1778,2558,1721,846,440,329,1000,2414,2421,2414
worker_eea011eb,249,1781,864,0,873,0,85,-1,1873,-1,2329
worker_eea011eb,293,1756,2889,1296,1645,215,731,261,1471,2792,1471
worker_eea011eb,293,1759,849,424,451,44,157,161,1722,2577,1722
worker_eea011eb,293,1763,387,183,204,57,128,193,1025,2604,2222
worker_483cbae8,215,1864,1798,936,872,397,157,478,127,478,127
worker_483cbae8,215,1865,2696,1336,1360,536,642,2181,1392,2181,1418
worker_483cbae8,215,1866,753,426,419,134,205,1979,1627,2073,1627
worker_483cbae8,213,1851,2145,1079,1110,426,509,1958,1259,2039,1286
worker_483cbae8,213,1852,1399,948,461,505,170,2276,1253,2493,1253
worker_483cbae8,213,1853,1357,437,930,192,351,820,1119,820,1055
worker_483cbae8,225,1845,1453,1046,1017,464,352,724,502,724,502
worker_483cbae8,225,1846,1238,662,742,390,170,776,344,776,333
worker_483cbae8,225,1847,1107,568,539,163,313,1064,955,1064,959
worker_483cbae8,303,1842,1441,458,1021,162,204,204,293,225,346
worker_483cbae8,303,1843,2895,1751,1196,767,423,1281,785,1281,787
worker_483cbae8,303,1844,333,192,141,86,87,812,461,1411,1152
worker_483cbae8,317,1724,2243,1117,1126,338,405,1121,589,1121,589
worker_483cbae8,317,1725,1735,856,879,498,140,785,325,785,325
worker_483cbae8,317,1726,615,321,294,168,94,1459,650,1459,851
worker_dc5a5b06,315,1788,3011,1779,1232,613,333,247,1559,2726,1564
worker_dc5a5b06,315,1790,528,0,528,0,168,-1,666,-1,2231
worker_dc5a5b06,257,1823,520,317,205,27,157,81,1665,2493,2344
worker_dc5a5b06,257,1824,4438,2118,2388,557,1170,128,2051,2472,2060
worker_dc5a5b06,285,1860,552,258,294,45,125,257,219,2545,1883
worker_dc5a5b06,285,1861,1354,715,639,23,303,50,2054,145,2054
worker_dc5a5b06,285,1862,2636,1322,1364,502,606,146,2026,2385,2026
worker_dc5a5b06,267,1795,1332,670,662,74,231,151,1377,1707,1385
worker_dc5a5b06,267,1796,810,384,426,5,300,55,1624,2848,1624
worker_dc5a5b06,267,1797,2876,1426,1472,311,1009,212,1182,2457,1988
worker_dc5a5b06,323,1996,1780,996,820,67,432,195,2206,1089,2207
worker_dc5a5b06,323,1997,706,278,488,106,284,590,216,688,1473
worker_dc5a5b06,323,1998,2935,1446,1489,538,27,227,983,813,1413
worker_9b10e7ff,279,1838,1031,529,502,32,414,808,1403,2233,2536
worker_9b10e7ff,279,1839,1040,501,539,98,261,2656,2612,2656,2622
worker_9b10e7ff,279,1840,908,498,496,60,376,1240,1530,2597,2762
worker_9b10e7ff,279,1841,651,331,320,36,249,990,1098,2840,2714
worker_b83b2deb,329,1801,4478,2464,2037,857,429,1513,2198,1513,2398
worker_b83b2deb,329,1805,1832,998,984,340,239,1378,1663,1378,1706
worker_b83b2deb,329,1807,929,453,476,173,126,738,1580,1247,1580
worker_b83b2deb,299,1740,2448,1215,1233,404,295,812,450,812,450
worker_b83b2deb,299,1741,2753,1379,1374,606,581,2348,1357,2348,1357
worker_b83b2deb,299,1743,784,391,393,291,40,2247,2196,2339,2196
worker_b83b2deb,287,1746,1946,954,992,163,42,46,46,46,46
worker_b83b2deb,287,1747,3248,1629,1619,842,339,1958,1890,1958,1890
worker_b83b2deb,287,1748,545,276,269,86,157,1764,1564,1934,1581
worker_b83b2deb,257,1798,2107,1469,1461,802,430,913,1069,913,1076
worker_b83b2deb,257,1799,2102,1661,579,494,131,622,1249,622,1249
worker_b83b2deb,257,1800,1464,350,1534,89,867,346,1222,1906,1795
worker_b83b2deb,231,1808,1775,910,1001,456,226,1337,1246,1337,1258
worker_b83b2deb,231,1809,805,423,382,185,129,1495,1239,1553,1377
worker_b83b2deb,231,1810,4480,2293,2241,1966,60,854,264,854,264
worker_b83b2deb,235,1764,5227,2766,2543,551,1318,2379,2082,2379,2082
worker_b83b2deb,235,1768,2656,1210,1458,518,369,1279,2002,1283,2002
worker_b83b2deb,235,1772,987,519,468,206,78,1937,1472,1937,1492
worker_0ff5001d,299,1742,2868,1496,1570,624,662,1815,1823,1978,1891
worker_0ff5001d,299,1744,1689,835,854,357,320,2249,1785,2249,1806
worker_0ff5001d,299,1745,362,188,174,67,100,2129,1892,2621,2012
worker_f2a8f61b,287,1749,2537,1190,1539,290,505,1231,2033,1231,2033
worker_f2a8f61b,287,1752,994,714,408,130,208,1328,1997,1401,2099
worker_f2a8f61b,287,1754,842,419,423,43,252,1299,1965,1428,1979
worker_1d147b43,257,1867,1221,766,819,378,207,1912,2140,1912,2140
worker_1d147b43,257,1868,1084,557,549,274,33,1998,1997,1998,2312
worker_1d147b43,257,1869,876,451,425,125,103,2049,2284,2057,2304
worker_6db95eee,303,1832,314,0,314,0,97,-1,119,-1,187
worker_6db95eee,303,1833,1041,770,769,335,74,186,151,507,332
worker_6db95eee,303,1834,2604,1304,1310,378,17,214,217,607,217
worker_6db95eee,257,1835,1326,1022,802,200,171,228,225,460,328
worker_6db95eee,257,1836,1782,1533,627,654,126,109,306,517,415
worker_6db95eee,257,1837,1156,0,1166,0,190,-1,291,-1,429
worker_6db95eee,317,1826,2758,1423,1455,269,248,263,685,804,756
worker_6db95eee,317,1827,2337,1263,1276,210,287,281,599,388,643
worker_6db95eee,317,1828,571,301,270,17,105,61,217,455,518
worker_6129fc84,65,344,0,174,161,71,44,1161,1584,1243,1698
worker_6129fc84,65,345,0,236,278,63,108,1982,1673,1982,1673
worker_6129fc84,65,346,0,82,49,32,31,579,645,1005,1303
worker_6129fc84,86,329,0,358,0,106,0,1743,-1,1743,-1
worker_6129fc84,86,330,0,155,0,58,0,662,-1,659,-1
worker_6129fc84,86,331,0,118,0,118,0,1873,-1,2011,-1
worker_6129fc84,75,322,0,206,233,93,76,1066,631,1232,661
worker_6129fc84,75,323,0,215,185,51,78,680,328,827,333
worker_6129fc84,75,327,0,35,39,28,10,570,161,627,316
worker_6129fc84,73,317,0,476,481,68,323,978,901,1018,931
worker_6129fc84,73,319,0,358,359,19,99,597,659,743,659
worker_6129fc84,73,320,0,69,83,1,20,135,112,717,885
worker_6129fc84,74,332,0,200,0,74,0,910,-1,917,-1
worker_6129fc84,74,333,0,210,0,100,0,1286,-1,1287,-1
worker_6129fc84,74,334,0,160,0,98,0,1031,-1,1031,-1
worker_6129fc84,82,295,0,270,0,219,0,898,-1,898,-1
worker_6129fc84,82,297,0,234,0,110,0,928,-1,1081,-1
worker_6129fc84,82,298,0,234,0,84,0,1065,-1,1065,-1
worker_6129fc84,85,301,0,443,427,105,250,468,456,468,515
worker_6129fc84,85,303,0,457,466,117,249,960,1053,960,1058
worker_6129fc84,85,304,0,195,195,40,109,1547,961,1821,1047
worker_6129fc84,67,338,0,186,201,58,69,996,1009,1050,1012
worker_6129fc84,67,339,0,270,216,3,51,1315,1565,1578,1719
worker_6129fc84,67,340,0,0,56,0,50,-1,1064,-1,1266
worker_46ff9373,172,1356,604,793,0,250,0,1168,-1,1169,-1
worker_46ff9373,172,1357,1145,1379,0,640,0,1164,-1,1164,-1
worker_46ff9373,172,1358,1423,1736,0,868,0,1135,-1,1154,-1
worker_46ff9373,172,1359,568,723,0,370,0,1058,-1,1068,-1
worker_5a944891,163,1558,369,206,167,46,46,884,880,913,952
worker_5a944891,163,1559,167,61,106,32,29,1009,1248,1009,1296
worker_5a944891,163,1560,357,194,165,19,22,994,1467,1092,1503
worker_5a944891,163,1561,238,119,135,20,34,2148,2299,2218,2299
worker_5a944891,163,1562,420,221,219,11,13,2071,1918,2196,2170
worker_b2629c8c,141,560,2623,1369,1544,429,160,392,500,392,530
worker_b2629c8c,141,562,1721,1071,954,291,147,270,342,270,344
worker_b2629c8c,141,565,374,216,298,45,155,121,292,179,417
worker_b2629c8c,133,593,1639,858,843,212,168,863,648,1073,648
worker_b2629c8c,133,595,2446,1239,1307,533,386,1013,1079,1304,1088
worker_b2629c8c,133,596,1355,871,836,443,335,2303,1425,2313,1509
worker_b2629c8c,115,608,1580,822,810,418,100,224,112,224,112
worker_b2629c8c,115,609,1079,597,578,208,156,90,278,90,351
worker_b2629c8c,115,611,1480,782,798,160,483,278,504,278,513
worker_0484ce71,204,1471,300,300,0,144,0,2306,-1,2465,-1
worker_0484ce71,204,1472,528,534,0,189,0,1986,-1,1986,-1
worker_0484ce71,204,1473,535,535,0,262,0,1965,-1,2193,-1
worker_0484ce71,209,1534,2687,1429,1258,307,133,1067,788,2715,1477
worker_0484ce71,209,1535,1734,872,862,84,74,481,812,2736,1886
worker_0484ce71,209,1536,7,0,7,0,7,-1,328,-1,2080
worker_0484ce71,170,1528,322,322,0,164,0,1916,-1,1916,-1
worker_0484ce71,170,1529,464,464,0,110,0,1871,-1,1871,-1
worker_0484ce71,170,1530,115,115,0,1,0,342,-1,1928,-1
worker_0484ce71,169,1474,1405,680,725,119,101,1937,2542,2027,2581
worker_0484ce71,169,1475,1154,582,572,88,107,1143,2407,2119,2407
worker_0484ce71,169,1476,21,17,4,13,3,386,714,2132,2398
worker_0484ce71,185,1525,966,452,514,67,18,494,441,2171,2667
worker_0484ce71,185,1526,1157,576,581,131,92,1052,2626,2196,2628
worker_0484ce71,186,1468,252,252,0,127,0,2762,-1,2772,-1
worker_0484ce71,186,1469,441,441,0,188,0,3053,-1,3053,-1
worker_0484ce71,186,1470,308,308,0,29,0,2369,-1,2696,-1
worker_53fc6d65,128,581,205,1700,0,861,0,1520,-1,1548,-1
worker_53fc6d65,128,584,1851,4349,0,1479,0,1263,-1,1263,-1
worker_53fc6d65,128,588,316,609,0,174,0,1280,-1,1280,-1
worker_53fc6d65,127,566,3032,2992,2878,541,706,2003,1354,2002,1354
worker_53fc6d65,127,567,8405,6611,6624,2043,1916,841,787,847,787
worker_53fc6d65,127,569,392,434,440,102,58,944,388,1063,407
worker_53fc6d65,64,382,0,2197,0,1057,0,756,-1,756,-1
worker_53fc6d65,64,383,0,2000,0,1198,0,970,-1,970,-1
worker_53fc6d65,64,384,0,495,0,310,0,1404,-1,1404,-1
worker_53fc6d65,79,234,0,4267,4243,2116,320,1493,1686,1493,1686
worker_53fc6d65,79,240,0,4137,4272,1475,1249,1530,1873,1530,1873
worker_53fc6d65,79,245,0,2593,2351,1007,1201,1462,2177,1462,2177
worker_01e1127e,183,1696,648,354,294,131,35,2076,1639,2272,1639
worker_01e1127e,183,1697,405,177,228,46,29,1864,2316,2026,2381
worker_01e1127e,183,1698,701,367,334,61,48,2050,2365,2142,2365
